relative_path,category,size_bytes,sha256,modified_utc
NLPP/Multi Task Models/Flan T5 Base/Flan_T5_early_Base.ipynb,training_or_test_code,28417,6c4abb512b0c992e603f19906da8054e961da4174493f68d32ebb0ac5f1bfff1,2025-06-01T12:24:24.547141+00:00
NLPP/Multi Task Models/Flan T5 Base/labelsiz/Flan_T5_early_Base.ipynb,training_or_test_code,19309,e449a347b586784de94c64e1769c2d5e10c3d3dc7c1fa360ecd3494e8354a5b1,2025-05-30T08:50:44.045965+00:00
NLPP/Multi Task Models/Flan T5 Base/labelsiz/model_test.py,training_or_test_code,6056,9a926cc4722c9b0de182d22b66de228f04537a241eb9b3956d8dc3cb3f13b923,2025-05-30T09:01:41.450309+00:00
NLPP/Multi Task Models/Flan T5 Base/labelsiz/Passenger-Bot/config.json,configuration_or_metric,1515,1016ce796f281c28ad2199ea00e874ed377f2b7e95150373866ffc0bacd7a0f2,2025-05-29T15:49:31.549433+00:00
NLPP/Multi Task Models/Flan T5 Base/labelsiz/Passenger-Bot/generation_config.json,dataset_or_tokenizer,142,583dc31745e69566cac194201257704f53f9565d93fe3a62d3924c2cfc50432b,2025-05-29T15:49:34.098712+00:00
NLPP/Multi Task Models/Flan T5 Base/labelsiz/Passenger-Bot/model.safetensors,model_artifact,990345064,09b1ba6a32ae2537c5ec6af69378be06d046d279b3e1abfb1a35a5fb0ca5e17c,2025-05-29T17:03:28.602275+00:00
NLPP/Multi Task Models/Flan T5 Base/labelsiz/Passenger-Bot/special_tokens_map.json,dataset_or_tokenizer,2543,7a1985a994c41886db38c719d2a3d2f40606663cc19d7c5d6a85d349320e06d2,2025-05-29T15:49:37.519054+00:00
NLPP/Multi Task Models/Flan T5 Base/labelsiz/Passenger-Bot/tokenizer.json,dataset_or_tokenizer,2422497,aac5188c0b6d0d4374883794f5779519cca08d0b8253a8213ab98cc165ca1469,2025-05-29T15:49:50.368037+00:00
NLPP/Multi Task Models/Flan T5 Base/labelsiz/Passenger-Bot/tokenizer_config.json,dataset_or_tokenizer,20830,26c1243c486c113e7017520b95ef2e82a7fc64d2b79f857759b4d51de0fb8b70,2025-05-29T15:49:45.756801+00:00
NLPP/Multi Task Models/Flan T5 Base/labelsiz/test.json,dataset_or_tokenizer,394322,51d16461407f802948f2898d2e6ed76951bb1b22ead61cd702e12f4b06a89eaa,2025-05-25T18:19:16.464360+00:00
NLPP/Multi Task Models/Flan T5 Base/passenger_bot_dataset.json,dataset_or_tokenizer,2599200,48baa144e66ba4d72fb203fba447b1df45fc077c4122b2d6a8bbfe7b12105f2a,2025-05-29T09:46:30.160027+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 base,BatchSize64, L40S,10Epoch,1.2e-3/20_multi_task_flan_t5/config.json",configuration_or_metric,1515,1016ce796f281c28ad2199ea00e874ed377f2b7e95150373866ffc0bacd7a0f2,2025-05-25T21:01:13.531338+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 base,BatchSize64, L40S,10Epoch,1.2e-3/20_multi_task_flan_t5/generation_config.json",dataset_or_tokenizer,142,583dc31745e69566cac194201257704f53f9565d93fe3a62d3924c2cfc50432b,2025-05-25T21:01:17.292182+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 base,BatchSize64, L40S,10Epoch,1.2e-3/20_multi_task_flan_t5/model.safetensors",model_artifact,990345064,897f2d9b54318b834557432fda833a9bc44dc579f3d84de508a00b1081a96a00,2025-05-25T21:15:15.712775+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 base,BatchSize64, L40S,10Epoch,1.2e-3/20_multi_task_flan_t5/special_tokens_map.json",dataset_or_tokenizer,2543,7a1985a994c41886db38c719d2a3d2f40606663cc19d7c5d6a85d349320e06d2,2025-05-25T21:09:40.305790+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 base,BatchSize64, L40S,10Epoch,1.2e-3/20_multi_task_flan_t5/tokenizer.json",dataset_or_tokenizer,2422497,aac5188c0b6d0d4374883794f5779519cca08d0b8253a8213ab98cc165ca1469,2025-05-25T21:10:38.806530+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 base,BatchSize64, L40S,10Epoch,1.2e-3/20_multi_task_flan_t5/tokenizer_config.json",dataset_or_tokenizer,20830,26c1243c486c113e7017520b95ef2e82a7fc64d2b79f857759b4d51de0fb8b70,2025-05-25T21:10:32.418014+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 base,BatchSize64, L40S,10Epoch,1.2e-3/model_test.py",training_or_test_code,3455,798aaa05f34c3a774f9f124250ce59768ed26b1a6149aafa746b6ce0e312bd7b,2025-05-25T21:21:09.024048+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 base,BatchSize64, L40S,10Epoch,1.2e-3/test.json",dataset_or_tokenizer,394322,51d16461407f802948f2898d2e6ed76951bb1b22ead61cd702e12f4b06a89eaa,2025-05-25T18:19:16.464360+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 Small model 10 epoch,5e-4,16 batch,T4/model_test.py",training_or_test_code,3449,db2bedeb3545f4834b5af5ca56e37fc61b95eac6033d8e006f0a25dca77d6fcd,2025-05-25T18:25:26.463463+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 Small model 10 epoch,5e-4,16 batch,T4/multi_task_flan_t5/config.json",configuration_or_metric,1512,d3fa7b11fb27213b15e67ac9921ca97bf07ead4b911efce65b9958d55f85c5be,2025-05-25T15:59:54.353547+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 Small model 10 epoch,5e-4,16 batch,T4/multi_task_flan_t5/generation_config.json",dataset_or_tokenizer,142,583dc31745e69566cac194201257704f53f9565d93fe3a62d3924c2cfc50432b,2025-05-25T15:59:58.235509+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 Small model 10 epoch,5e-4,16 batch,T4/multi_task_flan_t5/model.safetensors",model_artifact,307867048,b1ad5fb111d7c2e167767ae33d7afadf0b5736f74f81f9bf831d8db7d0af478d,2025-05-25T16:02:57.637685+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 Small model 10 epoch,5e-4,16 batch,T4/multi_task_flan_t5/special_tokens_map.json",dataset_or_tokenizer,2543,7a1985a994c41886db38c719d2a3d2f40606663cc19d7c5d6a85d349320e06d2,2025-05-25T16:01:38.585981+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 Small model 10 epoch,5e-4,16 batch,T4/multi_task_flan_t5/tokenizer.json",dataset_or_tokenizer,2422497,aac5188c0b6d0d4374883794f5779519cca08d0b8253a8213ab98cc165ca1469,2025-05-25T16:01:54.898104+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 Small model 10 epoch,5e-4,16 batch,T4/multi_task_flan_t5/tokenizer_config.json",dataset_or_tokenizer,20830,26c1243c486c113e7017520b95ef2e82a7fc64d2b79f857759b4d51de0fb8b70,2025-05-25T16:01:47.806799+00:00
"NLPP/Multi Task Models/Model Test and Run/T5 Small model 10 epoch,5e-4,16 batch,T4/test.json",dataset_or_tokenizer,394322,51d16461407f802948f2898d2e6ed76951bb1b22ead61cd702e12f4b06a89eaa,2025-05-25T18:19:16.464360+00:00
NLPP/Multi Task Models/Model Train/Flan T5 Base/Flan_T5_Base.ipynb,training_or_test_code,12146,9af515b71887ce36e37c8ae7af0723b55835281ab1114ae8d7b28adf29cf62bb,2025-05-25T16:22:21.099445+00:00
NLPP/Multi Task Models/Model Train/Flan T5 Base/passenger_bot_dataset.json,dataset_or_tokenizer,2204532,94c5697457d1fef31568f8d82a43cc49e15c1135866497d191df6f3edb50a1c4,2025-05-25T17:05:36.243240+00:00
NLPP/Multi Task Models/Model Train/Flan T5 Small/Flan_T5_small.ipynb,training_or_test_code,12042,9e0432b71ddad5f5f10e72fec00c62a15fb21fd9375c06c70a146cbb4a938013,2025-05-25T14:02:39.961433+00:00
NLPP/NLP Datasets/chat_dataset.json,dataset_or_tokenizer,17631341,9650707ce40ed0490c8b54e9a84771f74f46cea08fe476df749c9510727df800,2025-05-23T18:17:16.547989+00:00
NLPP/NLP Datasets/Datasets Create/dailydialog_kendi_formatım.py,training_or_test_code,1416,7f872303e046385d4536d6e980340baba981aa8fc62bdd95393c47f7e99ca5ff,2025-05-23T16:28:32.342241+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/birlestir_veri.py,training_or_test_code,2271,794355510b773ed8d38bbbf7ca86c5ba85ecdafb8421b5e469a43abedb463680,2025-05-25T12:57:43.515294+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_1.json,dataset_or_tokenizer,112759,73d46cc0efa16c662dcf5a81bda333a60f5061fbf7eaad0180b051d4195a8206,2025-05-24T21:16:11.025123+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_2.json,dataset_or_tokenizer,71260,1da119171e4c9c066371c5a5e7221bab5c4621b75eb44b7c939d6882fdc81523,2025-05-24T21:17:16.176461+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_3.json,dataset_or_tokenizer,94016,eba103c1ea015ecc125311b3192f112dd26870866c835204825eca5cfe93b13a,2025-05-24T21:19:19.788146+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_4.json,dataset_or_tokenizer,99961,f9863e8fd5113587f814f64d8e6f3c92828c1f110628f897fb806dc1fa408ce1,2025-05-24T21:20:09.685836+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_5.json,dataset_or_tokenizer,47670,4c38f9790c172952672712373a822a040848853344254c8727600001c692aa6e,2025-05-11T18:12:10.618473+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_6.json,dataset_or_tokenizer,42362,dc91ad523d85c784ff8881c794e2d7f4369acdf5ebb2e927d25fd676fcde23b2,2025-05-11T18:16:56.384031+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_7.json,dataset_or_tokenizer,42978,27c272a7598fbc3ae74f1c54c773795bf1bc80137fbde6ca96785dcf3a820fb2,2025-05-11T18:12:43.373301+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/komutlar/command_8.json,dataset_or_tokenizer,44992,ba8a50bc78c0b3dce588d44827d5a3d61a127e89497c642fdf5d75ffe7da3b60,2025-05-11T18:50:09.898356+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/tırnak işareti kaldır.py,training_or_test_code,659,1e56b8ee619dd5272b0deaeb5f335d28aaed4befab7d6269d61d927cdf8a2805,2025-05-25T12:57:24.514094+00:00
NLPP/NLP Datasets/Datasets Create/Datasets Birleştirme/tırnaklı_Passenger_bot_dataset.json,dataset_or_tokenizer,2102067,457c826fed1ac5952f4304d896f215cab3a1213b6fd36f45555ba340fd976cba,2025-05-25T11:34:08.822813+00:00
